scenario,scenario_label,hypothesis,hypothesis_label,exposure_date,probability_mean,probability_lower,probability_median,probability_upper,conditional_probability_mean,conditional_probability_lower,conditional_probability_median,conditional_probability_upper
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-01,1.8229158369678058e-8,4.836843204243524e-22,4.0482728275016514e-13,5.42454546427605e-8,7.366308271630921e-8,2.1239334730228e-21,1.6775208058405692e-12,2.269237190552407e-7
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-02,1.945798400501103e-6,5.799424489592082e-14,1.2718766172398587e-8,1.5201154855644228e-5,7.5257311111900374e-6,2.3904837372454076e-13,5.120129319008274e-8,6.091976107173237e-5
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-03,0.00015867383599952724,4.5434951668521406e-8,2.8170623324798586e-5,0.0011667273842601825,0.000600508629084145,2.1504669709460185e-7,0.00011553829052707713,0.004424132647878679
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-04,0.007057962743557236,0.00031651168164932114,0.004808770586415628,0.026338017640254573,0.02651890693615134,0.0015123941774946958,0.020088863099261955,0.08609268009938269
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-05,0.08347588880074483,0.021967350204661184,0.07737282875185465,0.1774159329526714,0.3135790822939164,0.1556215583417903,0.3102083351778305,0.48947331945643685
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-06,0.14221935992787185,0.045703522826446026,0.13605935744368383,0.2690194030257776,0.5364920158762533,0.39058617274875795,0.5355302221292892,0.6886243852895135
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-07,0.030909793127245212,0.005055296927637697,0.026408620670561975,0.08328815393953096,0.11764385689413588,0.025776844693668362,0.10922467805242622,0.25504373113926193
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-08,0.0013123321235452659,6.350038781823591e-6,0.0005081659312376134,0.00769897376669269,0.005062276783996238,2.9635759549599564e-5,0.0020970849105068374,0.028135850381265065
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-09,2.4069382211448068e-5,7.626162103812339e-11,8.125922764694029e-7,0.00021979787534574024,9.453072524618241e-5,3.37423632646997e-10,3.257128752483789e-6,0.0008512853572366241
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-10,3.033024350821977e-7,0.0,9.506075363695831e-11,1.6830660857984877e-6,1.2111206430256845e-6,0.0,3.726407350754408e-10,6.752910346722478e-6
