scenario,scenario_label,hypothesis,hypothesis_label,source_id,probability_mean,probability_lower,probability_median,probability_upper,conditional_probability_mean,conditional_probability_lower,conditional_probability_median,conditional_probability_upper
baseline,Baseline,secondary,Generation-2 infection from case 1,1,0.09407685332475796,0.026348688870883763,0.08808161951764028,0.19595074203354193,1.0,0.9999999999999997,1.0,1.0000000000000002
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,3,0.13468055751208163,0.10343361827577972,0.13324636270545512,0.17754495763307707,0.14911550596066808,0.11028506593729437,0.14747155606457976,0.19988472823072548
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2,0.14963361109935724,0.12092515354368637,0.14834503179867262,0.18699348114794062,0.16533828603589923,0.1334028338656973,0.16438269599335129,0.20531158956047535
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,8,0.14766800162341548,0.1263419370149193,0.14791966391653175,0.16711082158644142,0.16285634718833497,0.15307823318024427,0.16283688112923858,0.17286713792991706
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,4,0.13841232096317801,0.11584523989602243,0.13901494899244476,0.15681388254953152,0.15261103729183112,0.14102538262667141,0.15295691969861935,0.16136041742433477
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,12,0.13841232096317801,0.11584523989602243,0.13901494899244476,0.15681388254953152,0.15261103729183112,0.14102538262667141,0.15295691969861935,0.16136041742433477
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,7,0.10788760515606372,0.07574559256285388,0.10820199031244188,0.13810875841666684,0.11898556773322441,0.08567590308686913,0.11949752907979232,0.14707705160881582
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,5,0.08860007409317792,0.05314711436193172,0.08816085576004078,0.12487854733680293,0.09776985626247633,0.0590323069741759,0.097391059561732,0.13507319619454158
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,15,0.00020955175493001597,4.767812303557476e-7,4.2595028822783097e-5,0.0014904038926149955,0.00023745407857826378,4.998897233681864e-7,4.733648600758347e-5,0.0016985132985422849
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,17,0.00020955175493001597,4.767812303557476e-7,4.2595028822783097e-5,0.0014904038926149955,0.00023745407857826378,4.998897233681864e-7,4.733648600758347e-5,0.0016985132985422849
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,18,0.00020955175493001597,4.767812303557476e-7,4.2595028822783097e-5,0.0014904038926149955,0.00023745407857826378,4.998897233681864e-7,4.733648600758347e-5,0.0016985132985422849
