scenario,scenario_label,hypothesis,hypothesis_label,exposure_start,exposure_end,prior_weight,probability_mean,probability_lower,probability_median,probability_upper,mean_weighted_likelihood
baseline,Baseline,secondary,Generation-2 infection from case 1,2026-04-01,2026-05-13,1.0,0.09407685332475796,0.026348688870883763,0.08808161951764032,0.19595074203354185,0.00013718560809640465
baseline,Baseline,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,2026-05-13,1.0,0.905923146675242,0.8040492579664581,0.9119183804823597,0.9736513111291163,0.001321043523173889
window_minus_1d,Source onsets shifted earlier by 1 day,secondary,Generation-2 infection from case 1,2026-03-31,2026-05-12,1.0,0.0773607388424782,0.01897395696073041,0.07152444327253601,0.16809787941268214,0.00011624044368541577
window_minus_1d,Source onsets shifted earlier by 1 day,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-16,2026-05-12,1.0,0.9226392611575217,0.8319021205873179,0.9284755567274641,0.9810260430392697,0.001386336256391148
window_plus_1d,Source onsets shifted later by 1 day,secondary,Generation-2 infection from case 1,2026-04-02,2026-05-14,1.0,0.11645475369437602,0.03649899550173608,0.11036509799788695,0.23466834455463587,0.00016179352456856271
window_plus_1d,Source onsets shifted later by 1 day,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-18,2026-05-14,1.0,0.8835452463056238,0.7653316554453642,0.889634902002113,0.9635010044982639,0.0012275316805937257
secondary_prior_x2,Generation-2 prior doubled,secondary,Generation-2 infection from case 1,2026-04-01,2026-05-13,2.0,0.1719748535742633,0.05203075369027114,0.1649033802954862,0.3339980922601356,0.0002743712161928093
secondary_prior_x2,Generation-2 prior doubled,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,2026-05-13,1.0,0.8280251464257368,0.6660019077398645,0.8350966197045138,0.9479692463097289,0.001321043523173889
tertiary_prior_x2,Generation-3 prior doubled,secondary,Generation-2 infection from case 1,2026-04-01,2026-05-13,1.0,0.04936025541684031,0.01320911897546928,0.04552255002872201,0.10735834565773562,0.00013718560809640465
tertiary_prior_x2,Generation-3 prior doubled,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,2026-05-13,2.0,0.9506397445831596,0.8926416543422643,0.9544774499712779,0.9867908810245307,0.002642087046347778
padding_3d,Exposure window: 3-day transmission padding,secondary,Generation-2 infection from case 1,2026-04-03,2026-05-13,1.0,0.0916060140449493,0.025606525986648476,0.08568798940460763,0.19126437146612846,0.00014387652328607805
padding_3d,Exposure window: 3-day transmission padding,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-19,2026-05-13,1.0,0.9083939859550509,0.8087356285338716,0.9143120105953924,0.9743934740133515,0.0014267247607680522
padding_7d,Exposure window: 7-day transmission padding,secondary,Generation-2 infection from case 1,2026-03-30,2026-05-13,1.0,0.09631595134134316,0.02704216814958039,0.0902431327798271,0.20007900835473272,0.0001310884700186908
padding_7d,Exposure window: 7-day transmission padding,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-15,2026-05-13,1.0,0.9036840486586568,0.7999209916452672,0.9097568672201729,0.9729578318504196,0.0012299370734462128
confirmed_sources_only,Generation-3 confirmed sources only,secondary,Generation-2 infection from case 1,2026-04-01,2026-05-13,1.0,0.08932448303553842,0.02513471757149801,0.08362954853200283,0.18582175067779108,0.00013718560809640465
confirmed_sources_only,Generation-3 confirmed sources only,tertiary,Generation-3 infection from generation-2 Hondius cases,2026-04-17,2026-05-13,1.0,0.9106755169644616,0.814178249322209,0.9163704514679971,0.9748652824285019,0.0013986263376813766
